time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-12T13:33:55.919Z,-5.0301,130.811,63.44,4.5,mb,,79,2.54,0.73,us,us70005tp2,2019-10-12T15:06:19.040Z,"226km WNW of Tual, Indonesia",earthquake,13.5,9.7,0.128,18,reviewed,us,us
2019-10-12T09:55:15.725Z,-5.9891,131.4814,35,4.3,mb,,122,1.988,1.24,us,us70005tnd,2019-10-12T10:48:17.040Z,"144km WSW of Tual, Indonesia",earthquake,4,2,0.148,13,reviewed,us,us
2019-10-12T02:35:40.461Z,-5.1453,152.6321,55.06,5.2,mb,,44,1.056,1.09,us,us70005tld,2019-10-12T02:51:12.040Z,"87km SSW of Taron, Papua New Guinea",earthquake,7.9,7.4,0.08,51,reviewed,us,us
2019-10-12T01:14:51.191Z,-20.959,-177.4857,396.95,4,mb,,107,5.287,0.67,us,us70005vk9,2019-10-18T22:07:40.040Z,"130km ESE of Ndoi Island, Fiji",earthquake,15.9,11.4,0.129,16,reviewed,us,us
2019-10-12T01:07:07.150Z,-7.1412,129.3565,156.74,4.7,mb,,79,2.099,0.9,us,us70005tl5,2019-10-12T01:30:06.040Z,"234km WNW of Saumlaki, Indonesia",earthquake,6.9,8.2,0.11,25,reviewed,us,us
2019-10-11T18:52:40.380Z,-18.6449,-172.5914,10,5.2,mww,,81,2.559,0.97,us,us70005ti3,2019-10-12T15:03:16.040Z,"146km E of Neiafu, Tonga",earthquake,7.4,1.8,0.089,12,reviewed,us,us
2019-10-11T17:23:03.975Z,-24.2442,-66.9727,173.92,4.7,mwr,,76,1.696,0.92,us,us70005thk,2019-10-12T14:39:35.040Z,"66km W of San Antonio de los Cobres, Argentina",earthquake,8.5,6.7,,,reviewed,us,guc
2019-10-11T15:18:37.736Z,-31.5874,179.7132,404.25,4.3,mb,,138,3.098,0.79,us,us70005ter,2019-10-11T16:22:37.040Z,"132km W of L'Esperance Rock, New Zealand",earthquake,13.6,8.9,0.134,16,reviewed,us,us
2019-10-11T15:01:50.086Z,-4.6882,125.3281,485.95,4.7,mb,,55,4.431,0.86,us,us70005tdr,2019-10-11T15:15:03.040Z,"165km SW of Leksula, Indonesia",earthquake,12.6,11.6,0.113,24,reviewed,us,us
2019-10-11T10:59:48.252Z,-2.5477,-77.0031,119,4.3,mb,,81,2.253,0.68,us,us70005tcw,2019-10-11T11:18:16.040Z,"126km ESE of Macas, Ecuador",earthquake,5.3,9.4,0.093,33,reviewed,us,us
